sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,angle_w_norm,angle_b_norm,gyro_w,gyro_b,gyro_w_s,gyro_b_s
35,583023,197245,0.624268,0.18634,0.730652,-0.204224,0.458313,0.268372,0.726501,-0.436035,0.021484,0.0,-0.005859,0.003906,-0.013672,0.001953,0.10254136920288982,0.2618758294949036,0.1045770299614728,0.2663418176665972,-0.1617647877051244,0.00031157641639899757,0.0013678619952985644,0.022268590817561853,0.014352512985536714,0.021840407280624453,0.017133619389705545
36,583033,197260,0.624268,0.18634,0.730652,-0.204346,0.458435,0.268311,0.72644,-0.436096,0.013672,-0.003906,-0.011719,0.0,-0.019531,-0.003906,0.11001253513106504,0.2778572531760492,0.10992367931251963,0.276905358839531,-0.16698167952701137,0.00034138273964994,0.0014271910825217817,0.01842594315089461,0.019917750801734618,0.020636237565797955,0.020393498719598193
37,583044,197274,0.624207,0.18634,0.730652,-0.204407,0.458374,0.26825,0.726379,-0.436218,0.013672,-0.005859,-0.013672,0.019531,-0.001953,-0.009766,0.11890317955516501,0.28908960347352364,0.11441783755808466,0.2901839524173121,-0.17576611485922744,0.00036643662379552585,0.001501768993818835,0.02020334252048408,0.021923706940205165,0.019581944305749645,0.02366375124476981
38,583064,197284,0.624268,0.186279,0.730591,-0.204529,0.458374,0.26825,0.726318,-0.43634,0.007813,-0.015625,0.001953,0.027344,-0.013672,-0.007813,0.12120985971079044,0.3025841169720021,0.11868578715270225,0.30405645341867493,-0.18537066626597268,0.000390229447465736,0.00157968252758939,0.017578333339654247,0.031554094647129396,0.019014928482267955,0.02355546229616977
39,583083,197295,0.62439,0.18634,0.730469,-0.204651,0.458374,0.268311,0.726196,-0.436462,0.013672,-0.013672,-0.001953,0.023437,-0.019531,-0.001953,0.11942224419051299,0.3195129589700821,0.12659068289856937,0.3172622714484522,-0.19067158854988284,0.00043429739776439975,0.0016538517021981915,0.019433511700153425,0.030570690849243166,0.02208427319792426,0.022163040330258617
40,583093,197305,0.62439,0.18634,0.730408,-0.204712,0.458435,0.268311,0.726135,-0.436523,-0.001953,-0.013672,-0.013672,0.009766,-0.005859,0.007813,0.12388111717597786,0.3312383345017176,0.1352763520771067,0.3287864340811971,-0.19351008200409042,0.000482717977867627,0.0017185760251141192,0.019433511700153422,0.013811068242536492,0.021666160443570986,0.020595232949254312
41,583110,197320,0.62439,0.186218,0.730408,-0.204956,0.458496,0.26825,0.726074,-0.436584,0.025391,-0.005859,-0.021484,-0.003906,-0.011719,0.003906,0.14953701386040044,0.3438863433249358,0.14325699009539633,0.3384070401145495,-0.19515005001915314,0.0005272081736713461,0.0017726092101179743,0.03377266672917612,0.012955640972178875,0.024035808027232826,0.016237614019828435
42,583123,197334,0.62439,0.186157,0.730347,-0.205078,0.458557,0.26825,0.726074,-0.436584,-0.001953,-0.013672,-0.011719,-0.011719,-0.007813,0.0,0.16233152544785173,0.346710416637248,0.15133405335224676,0.34962521546775815,-0.1982911621155114,0.0005722359176929092,0.0018356149856547982,0.018112778748717712,0.014084670035183643,0.026060233799500166,0.023683263525308647
43,583133,197345,0.624451,0.186096,0.730347,-0.205078,0.458618,0.268188,0.726074,-0.436584,-0.021484,-0.017578,-0.009766,0.0,-0.009766,0.0,0.16111304980223876,0.350687147138764,0.16085540822409033,0.3904995516257409,-0.22964414340165057,0.00062531525064777,0.0020651816636662935,0.029426571257963437,0.009766,0.029439552282450925,0.06254051366046873
44,583150,197355,0.624573,0.185974,0.730225,-0.205078,0.458679,0.268188,0.725891,-0.436707,0.017578,-0.023437,-0.003906,0.046875,-0.048828,-0.003906,0.15980756047476496,0.3756038357361255,0.16764347079539474,0.45242185735061513,-0.28477838655522036,0.0006631571164526237,0.002412962187003192,0.02955564056149012,0.06779893837664422,0.03201111953440039,0.09930765869898868
45,583162,197373,0.624634,0.185974,0.730164,-0.2052,0.45929,0.268066,0.725037,-0.437622,0.03125,-0.017578,-0.005859,0.097656,-0.183594,0.007813,0.17148789153519572,0.5356100152916313,0.1771337151851035,0.5356009736008145,-0.358467258415711,0.0007160630157247948,0.002880129490312678,0.03633010411490724,0.20809731891833685,0.030492157718856126,0.13719263638219076
46,583173,197383,0.624634,0.186035,0.730103,-0.205322,0.4599,0.267822,0.724426,-0.438171,0.044922,-0.007813,-0.009766,0.058594,-0.1875,-0.011719,0.1834773267169225,0.653497871949307,0.18719410925801724,0.6481376152771433,-0.46094350601912604,0.0007721473665173936,0.003512180439944046,0.046630502988923454,0.19679136616477869,0.0318833554723384,0.20612787667255122
47,583190,197393,0.624634,0.186096,0.730042,-0.205566,0.460327,0.267578,0.723877,-0.438782,-0.003906,-0.005859,-0.007813,0.125,-0.15625,-0.037109,0.20978274739639563,0.7626059978882451,0.19600775258732997,0.8022900254744922,-0.6062822728871623,0.000821281372666604,0.00437796224933398,0.010517969670996394,0.20350955845119412,0.032197806211842026,0.29912067477138365
48,583202,197404,0.624695,0.185974,0.730042,-0.205566,0.460632,0.267639,0.723022,-0.439819,-0.033203,-0.005859,-0.013672,0.300781,-0.1875,-0.001953,0.21141502016680735,0.9133703555204078,0.20255038043820806,0.986488090374898,-0.78393770993669,0.0008577549971424096,0.005412492515266471,0.036382560025374794,0.3544422014518023,0.02654227044622684,0.38492219213116846
49,583213,197415,0.624695,0.185791,0.730042,-0.205444,0.460999,0.26825,0.721619,-0.441406,-0.027344,-0.005859,-0.013672,0.466797,-0.238281,0.095703,0.20387577712132857,1.1463658867228694,0.2062196048864966,1.2671547619175483,-1.0609351570310517,0.0008782100677493003,0.006988829196688173,0.03112789425900827,0.5327629288708065,0.01900629849186418,0.4695274859927426
50,583230,197425,0.624756,0.185608,0.730103,-0.205383,0.461548,0.269409,0.719666,-0.443237,0.003906,-0.003906,0.005859,0.544922,-0.253906,0.210937,0.20420103078958626,1.4566003397936609,0.20511495891900555,1.5913328114484462,-1.3862178525294406,0.0008720519240927612,0.008809543241496453,0.008052425286831292,0.637104905717261,0.019310686891487138,0.6258794970166685
