sample,timestamp_w,timestamp_b,qw_w,qx_w,qy_w,qz_w,qw_b,qx_b,qy_b,qz_b,gx_w,gy_w,gz_w,gx_b,gy_b,gz_b,angle_w,angle_b,angle_w_s,angle_b_s,angle_diff,gyro_w,gyro_b,gyro_w_s,gyro_b_s,gyro_w_norm,gyro_b_norm,angle_w_norm,angle_b_norm
35,583252,197245,0.624817,0.185608,0.730042,-0.205383,0.458313,0.268372,0.726501,-0.436035,-0.005859,-0.003906,-0.009766,0.003906,-0.013672,0.001953,0.1812564062766762,0.2618758294949036,0.18309321611630464,0.2663418176665972,-0.08324860155029257,0.012039911669111199,0.014352512985536714,0.017971824018179455,0.01997582161774573,0.0001307005111564151,3.5871290648975674e-05,0.0008961529240099664,0.0013785301054168712
36,583263,197260,0.624817,0.185547,0.730103,-0.205383,0.458435,0.268311,0.72644,-0.436096,-0.013672,-0.003906,-0.013672,0.0,-0.019531,-0.003906,0.18472890650923557,0.2778572531760492,0.18633653140739925,0.276905358839531,-0.09056882743213174,0.019725719353169354,0.019917750801734618,0.016656889208021212,0.02111326892070004,7.776807213366264e-05,9.117014360345821e-05,0.0009142314387019247,0.001438321906888961
37,583273,197274,0.624817,0.185425,0.730103,-0.205383,0.458374,0.26825,0.726379,-0.436218,0.003906,-0.001953,-0.013672,0.019531,-0.001953,-0.009766,0.19437333044609714,0.28908960347352364,0.19142186352617924,0.2901839524173121,-0.09876208889113286,0.014352512985536714,0.021923706940205165,0.016343542738473885,0.02090703609853866,6.51543723789861e-05,8.114379910603031e-05,0.000942577511522931,0.001513481459735268
38,583283,197284,0.624817,0.185486,0.730042,-0.205444,0.458374,0.26825,0.726318,-0.43634,0.03125,-0.003906,-0.001953,0.027344,-0.013672,-0.007813,0.19545517490771297,0.3025841169720021,0.19542968216907886,0.30405645341867493,-0.10862677124959608,0.0315536613564892,0.031554094647129396,0.016312733130137206,0.02072649506265206,6.391413772857031e-05,7.236650263716348e-05,0.0009649174327810679,0.0015920026499513032
39,583293,197295,0.624817,0.185547,0.730042,-0.205566,0.458374,0.268311,0.726196,-0.436462,0.021484,-0.003906,0.001953,0.023437,-0.019531,-0.001953,0.20129549949117434,0.3195129589700821,0.1996172521858744,0.3172622714484522,-0.11764501926257781,0.021923350587900566,0.030570690849243166,0.015276153387072115,0.020688231784030196,2.2186826520336097e-05,7.05062710356016e-05,0.0009882593034527569,0.0016667502783257843
40,583303,197305,0.624817,0.185547,0.730042,-0.205566,0.458435,0.268311,0.726135,-0.436523,-0.003906,-0.003906,-0.001953,0.009766,-0.005859,0.007813,0.20129549949117434,0.3312383345017176,0.2027769298119734,0.3287864340811971,-0.12600950426922372,0.0058590000000000005,0.013811068242536492,0.014724993624606006,0.019237981669496675,0.0,0.0,0.001005871614701721,0.0017319793935428164
41,583314,197320,0.624817,0.185486,0.730042,-0.205566,0.458496,0.26825,0.726074,-0.436584,-0.007813,-0.003906,0.0,-0.003906,-0.011719,0.003906,0.20566675659321315,0.3438863433249358,0.20664629244179347,0.3384070401145495,-0.131760747672756,0.008734975958753407,0.012955640972178875,0.0163971409307197,0.025791586160416543,6.731195693820842e-05,0.00031861415480429644,0.0010274397703922235,0.0017864339894562847
42,583331,197334,0.624817,0.185425,0.730042,-0.205566,0.458557,0.26825,0.726074,-0.436584,-0.001953,-0.001953,-0.003906,-0.011719,-0.007813,0.0,0.21017171857659211,0.346710416637248,0.20934759015492127,0.34962521546775815,-0.14027762531283688,0.004783853467655547,0.014084670035183643,0.0246330509136545,0.05101204677058903,0.0003988468738031073,0.0015447479186313038,0.001042497033103692,0.0018499311541491977
43,583341,197345,0.624817,0.185364,0.730042,-0.205566,0.458618,0.268188,0.726074,-0.436584,-0.013672,0.001953,-0.007813,0.0,-0.009766,0.0,0.21480198805681344,0.350687147138764,0.21238761798194333,0.3904995516257409,-0.17811193364379757,0.015867601015906594,0.009766,0.055542467364881165,0.07475785752995126,0.001643099280001498,0.002699189178508894,0.001059442406217951,0.0020812882485981244
44,583351,197355,0.624817,0.185364,0.730042,-0.205566,0.458679,0.268188,0.725891,-0.436707,0.023437,0.009766,-0.005859,0.046875,-0.048828,-0.003906,0.21480198805681344,0.3756038357361255,0.22081191780588855,0.45242185735061513,-0.23160993954472658,0.026057544128332583,0.06779893837664422,0.14955428748750085,0.10185764184547377,0.005427526384383716,0.0040166893247310246,0.0011064001684049428,0.0024317811514972245
