timestamp_ms	qw	qx	qy	qz	gx	gy	gz
4285	0.635742	-0.006042	0.770569	0.044739	-0.005859	0.009766	0.001953
4317	0.63562	-0.005981	0.77063	0.0448	-0.003906	0.005859	0.001953
4355	0.63562	-0.005981	0.770691	0.044922	0	0.005859	0.001953
4387	0.635681	-0.005676	0.77063	0.044739	0.011719	-0.003906	0.001953
4423	0.635681	-0.005554	0.77063	0.044922	0.015625	-0.003906	0.009766
4465	0.635681	-0.005432	0.77063	0.045105	0.023437	-0.003906	0.009766
4496	0.635742	-0.005127	0.770569	0.045044	0.021484	-0.005859	0.003906
4535	0.635925	-0.004883	0.770447	0.045044	0	-0.011719	0.007813
4574	0.636047	-0.004395	0.770325	0.0448	0.015625	-0.011719	0.007813
4607	0.636108	-0.004333	0.770264	0.044922	-0.005859	-0.007813	0.003906
4645	0.636169	-0.004028	0.770203	0.044861	0.011719	0	0.009766
4676	0.635925	-0.002319	0.770508	0.043396	0.039063	0.007813	0.023437
4714	0.633972	0.015076	0.772888	0.023254	0.96875	0.113281	0.005859
4748	0.630615	0.037964	0.775208	-0.001465	2.439453	0.269531	0.173828
4785	0.622192	0.071777	0.778442	-0.041992	2.453125	0.318359	0.082031
4816	0.613281	0.096313	0.780457	-0.074463	2.761719	0.429687	-0.044922
4853	0.598938	0.125122	0.782104	-0.11792	2.648438	0.486328	-0.205078
4894	0.578979	0.152588	0.782715	-0.169922	3.222656	0.710937	-0.835937
4931	0.550842	0.177368	0.781494	-0.233093	3.353516	0.744141	-0.960937
4967	0.522888	0.192505	0.779541	-0.286194	3.626953	0.953125	-1.501953
5003	0.475708	0.205383	0.775513	-0.360779	3.802734	1.144531	-1.933594
5037	0.434021	0.20752	0.770935	-0.417419	3.638672	1.3125	-2.789063
5073	0.372009	0.200928	0.761108	-0.491882	3.601563	1.3125	-2.916016
5113	0.305359	0.183044	0.74408	-0.565369	3.599609	0.908203	-3.632813
5155	0.236023	0.153687	0.720276	-0.633911	3.257813	0.599609	-4.060547
5187	0.182434	0.124023	0.697144	-0.682129	3.283203	0.505859	-4.091797
5225	0.112122	0.075928	0.659485	-0.739441	3.371094	0.212891	-4.265625
5256	0.058716	0.031921	0.625305	-0.777527	3.283203	-0.181641	-4.560547
5295	0.009399	0.036682	-0.574036	0.817932	3.236328	-0.621094	-4.841797
5332	0.074585	0.116394	-0.517395	0.844543	3.019531	-1.193359	-5.013672
5368	0.120422	0.182922	-0.469116	0.85553	3.068359	-2.033203	-5.197266
5407	0.173828	0.272278	-0.401062	0.857178	3.089844	-2.101563	-5.142578
5438	0.206421	0.335083	-0.350037	0.850037	2.839844	-2.240234	-4.597656
5476	0.240112	0.406189	-0.286865	0.833679	2.679688	-2.15625	-4.052734
5513	0.264709	0.461853	-0.23053	0.814514	2.402344	-1.802734	-3.492188
5554	0.274536	0.493408	-0.193115	0.802429	1.339844	-0.421875	-0.921875
5585	0.269836	0.499207	-0.176208	0.804321	1.271484	-0.136719	-0.515625
5616	0.256775	0.490051	-0.172119	0.815002	0.738281	0.65625	0.630859
5652	0.22699	0.457703	-0.191895	0.837952	-0.046875	1.246094	1.900391
5687	0.194946	0.4198	-0.225464	0.8573	-1.072266	1.763672	3.400391
5725	0.135376	0.356079	-0.288574	0.878418	-1.652344	1.888672	4.476562
5756	0.075928	0.297424	-0.349121	0.885376	-2.455078	1.894531	5.884766
5794	0.022705	-0.209351	0.434875	-0.875549	-2.759766	1.818359	6.919922
5833	0.14325	-0.116333	0.533264	-0.825562	-3.636719	1.291016	8.136719
5866	0.246704	-0.050293	0.606506	-0.75415	-4.976562	0.283203	9.296875
5898	0.367676	0.009216	0.681519	-0.63269	-7.039062	-0.861328	10.505859
5936	0.523987	0.062561	0.741089	-0.4151	-7.751953	-1.845703	11.160156
5973	0.64917	-0.013	0.752686	-0.108948	-12.84375	-4.126953	9.023438
6012	0.732361	-0.134521	0.661987	0.085632	-18.621094	-7.537109	5.685547
6055	0.789978	-0.222046	0.534058	0.203552	-7.857422	-7.369141	-0.871094
6092	0.837891	-0.318542	0.365479	0.250854	-7.861328	-7.773437	-2.613281
6132	0.878418	-0.356934	0.207764	0.240417	-3.509766	-6.853516	-4.277344
6172	0.910278	-0.351318	0.068359	0.20813	-0.894531	-6.179687	-4.542969
6212	0.930481	-0.318298	-0.051331	0.17395	0.433594	-5.417969	-3.755859
6252	0.944885	-0.254639	-0.150696	0.140259	2.132813	-4.814453	-3.619141
6292	0.948669	-0.185242	-0.230347	0.112671	2.443359	-4.007812	-3.066406
6332	0.944275	-0.113647	-0.293091	0.097351	2.941406	-3.441406	-2.302734
6372	0.932678	-0.05127	-0.346436	0.086426	2.314453	-2.935547	-1.755859
6407	0.920105	-0.003662	-0.382568	0.084106	2.734375	-2.828125	-1.3125
6445	0.903015	0.050415	-0.41864	0.082336	2.296875	-2.396484	-1.134766
6477	0.890503	0.088684	-0.437927	0.085815	2.404297	-1.755859	-0.748047
6515	0.877136	0.125183	-0.454651	0.090759	1.794922	-1.28125	-0.505859
6547	0.867798	0.150269	-0.463745	0.096313	1.669922	-0.955078	-0.3125
6586	0.857056	0.177856	-0.471863	0.10553	1.498047	-0.71875	-0.193359
6624	0.848755	0.195679	-0.477051	0.117249	1.240234	-0.462891	0.152344
6656	0.844238	0.205078	-0.478821	0.126343	0.882812	-0.224609	0.263672
6695	0.77832	0.230713	-0.569153	0.130554	0.693359	-0.015625	0.345703
6735	0.779602	0.228821	-0.565125	0.143066	0.234375	0.470703	0.541016
6772	0.783997	0.221741	-0.558899	0.15448	0.125	0.523437	0.558594
6807	0.788208	0.214233	-0.553772	0.161621	-0.115234	0.607422	0.537109
6845	0.794983	0.200806	-0.547485	0.166992	-0.333984	0.615234	0.507812
6884	0.801819	0.186523	-0.541992	0.168884	-0.552734	0.498047	0.292969
6924	0.807739	0.174316	-0.537231	0.168945	-0.470703	0.419922	0.195312
6964	0.812988	0.163513	-0.533142	0.167664	-0.501953	0.359375	0.126953
7004	0.81781	0.153259	-0.529419	0.16571	-0.400391	0.337891	0.117188
7044	0.821838	0.146362	-0.525085	0.165649	-0.181641	0.335938	0.117188
7083	0.825256	0.141907	-0.520386	0.167358	-0.173828	0.333984	0.125
7123	0.827942	0.139526	-0.51593	0.169922	-0.027344	0.318359	0.125
7164	0.829529	0.138489	-0.513123	0.171509	0.029297	0.128906	0.033203
7196	0.830078	0.139038	-0.511719	0.172729	0.066406	0.103516	0.035156
7235	0.830811	0.139709	-0.509644	0.174561	0.128906	0.101563	0.039063
7272	0.831909	0.139832	-0.507324	0.176147	0.044922	0.134766	0.046875
7312	0.833374	0.139526	-0.505005	0.175842	0	0.138672	-0.021484
7352	0.834961	0.138794	-0.503113	0.1745	-0.046875	0.117188	-0.064453
